key,value
Recording Name,D:/Work/ETH/projects/ComputationalMixedReality/development/CompAug/Assets/.././log/log_20200220-1343//gaze/
Start Date,20.02.2020
Start Time,13:43:59
Start Time (System),1582202639.1847115
Start Time (Synced),528317.391284
Recording UUID,a8eb394f-bbd0-4aeb-8b36-477a3057b5bb
Duration Time,00:00:16
World Camera Frames,492
World Camera Resolution,640x480
Capture Software Version,1.21.5
Data Format Version,1.16
System Info,User: dalind\, Platform: Windows\, Machine: DESKTOP-CKE801U\, Release: 10\, Version: 10.0.18362
